value,startDate
76,2026-01-10 12:01:29 -0500
67,2026-01-10 12:08:37 -0500
62,2026-01-10 12:11:21 -0500
65,2026-01-10 12:19:23 -0500
66,2026-01-10 12:23:23 -0500
62,2026-01-10 12:29:12 -0500
62,2026-01-10 12:29:13 -0500
62,2026-01-10 12:29:14 -0500
62,2026-01-10 12:29:15 -0500
62,2026-01-10 12:29:16 -0500
65,2026-01-10 12:29:17 -0500
62,2026-01-10 12:29:18 -0500
62,2026-01-10 12:29:19 -0500
65,2026-01-10 12:29:24 -0500
65,2026-01-10 12:29:26 -0500
75,2026-01-10 12:29:35 -0500
79,2026-01-10 12:29:39 -0500
78,2026-01-10 12:29:45 -0500
75,2026-01-10 12:29:50 -0500
65,2026-01-10 12:26:49 -0500
71,2026-01-10 12:34:25 -0500
63,2026-01-10 12:35:51 -0500
63.7003,2026-01-10 12:40:05 -0500
65,2026-01-10 12:44:03 -0500
60,2026-01-10 12:48:12 -0500
60,2026-01-10 12:53:29 -0500
64,2026-01-10 12:57:37 -0500
69,2026-01-10 13:03:39 -0500
62,2026-01-10 13:06:34 -0500
63,2026-01-10 13:13:10 -0500
60,2026-01-10 13:19:09 -0500
62,2026-01-10 13:22:54 -0500
57,2026-01-10 13:24:59 -0500
58,2026-01-10 13:30:40 -0500
57,2026-01-10 13:35:23 -0500
67,2026-01-10 13:41:24 -0500
62,2026-01-10 13:45:57 -0500
69,2026-01-10 13:51:47 -0500
62,2026-01-10 13:58:08 -0500
62,2026-01-10 14:04:26 -0500
59,2026-01-10 14:06:47 -0500
57,2026-01-10 14:10:02 -0500
70,2026-01-10 14:18:50 -0500
63,2026-01-10 14:25:37 -0500
63,2026-01-10 14:34:39 -0500
62,2026-01-10 14:39:27 -0500
69,2026-01-10 14:44:02 -0500
62,2026-01-10 14:47:51 -0500
64,2026-01-10 14:24:34 -0500
98,2026-01-10 14:54:03 -0500
97,2026-01-10 15:00:48 -0500
85,2026-01-10 14:51:05 -0500
103,2026-01-10 15:06:39 -0500
101,2026-01-10 15:10:07 -0500
86,2026-01-10 15:01:02 -0500
115,2026-01-10 15:12:54 -0500
108,2026-01-10 15:15:37 -0500
56,2026-01-10 15:10:38 -0500
103,2026-01-10 15:23:53 -0500
103,2026-01-10 15:27:31 -0500
70,2026-01-10 15:32:37 -0500
84,2026-01-10 15:38:10 -0500
89,2026-01-10 15:42:53 -0500
71,2026-01-10 15:49:33 -0500
72,2026-01-10 15:52:51 -0500
69,2026-01-10 15:56:39 -0500
68,2026-01-10 16:02:15 -0500
67,2026-01-10 16:06:21 -0500
99,2026-01-10 16:14:36 -0500
48,2026-01-10 16:10:07 -0500
74,2026-01-10 16:16:58 -0500
62,2026-01-10 16:24:45 -0500
65,2026-01-10 16:26:58 -0500
67,2026-01-10 16:31:31 -0500
65,2026-01-10 16:37:58 -0500
65,2026-01-10 16:40:28 -0500
68.5499,2026-01-10 16:45:39 -0500
65,2026-01-10 16:45:37 -0500
61,2026-01-10 16:53:19 -0500
63,2026-01-10 16:58:27 -0500
64,2026-01-10 17:00:00 -0500
62,2026-01-10 17:07:29 -0500
69,2026-01-10 17:10:32 -0500
83,2026-01-10 17:17:29 -0500
78,2026-01-10 17:17:34 -0500
77,2026-01-10 17:17:39 -0500
78,2026-01-10 17:17:44 -0500
77,2026-01-10 17:17:45 -0500
82,2026-01-10 17:17:54 -0500
83,2026-01-10 17:17:59 -0500
84,2026-01-10 17:18:03 -0500
82,2026-01-10 17:18:08 -0500
82,2026-01-10 17:18:14 -0500
83,2026-01-10 17:19:12 -0500
79,2026-01-10 17:19:17 -0500
79,2026-01-10 17:19:22 -0500
79,2026-01-10 17:19:23 -0500
79,2026-01-10 17:19:28 -0500
81,2026-01-10 17:19:34 -0500
77,2026-01-10 17:19:42 -0500
79,2026-01-10 17:19:47 -0500
82,2026-01-10 17:19:52 -0500
83,2026-01-10 17:19:53 -0500
76,2026-01-10 17:18:51 -0500
78,2026-01-10 17:21:37 -0500
79,2026-01-10 17:21:42 -0500
80,2026-01-10 17:21:47 -0500
79,2026-01-10 17:21:49 -0500
83,2026-01-10 17:21:53 -0500
86,2026-01-10 17:21:58 -0500
78,2026-01-10 17:22:07 -0500
77,2026-01-10 17:22:12 -0500
76,2026-01-10 17:23:17 -0500
76,2026-01-10 17:23:21 -0500
79,2026-01-10 17:23:23 -0500
82,2026-01-10 17:23:28 -0500
87,2026-01-10 17:23:37 -0500
91,2026-01-10 17:23:42 -0500
91,2026-01-10 17:23:43 -0500
87,2026-01-10 17:23:49 -0500
89,2026-01-10 17:23:57 -0500
89,2026-01-10 17:24:02 -0500
81,2026-01-10 17:24:07 -0500
77,2026-01-10 17:24:10 -0500
80,2026-01-10 17:24:56 -0500
74,2026-01-10 17:28:50 -0500
60,2026-01-10 17:32:31 -0500
63,2026-01-10 17:37:19 -0500
63,2026-01-10 17:39:58 -0500
59,2026-01-10 17:48:40 -0500
60,2026-01-10 17:54:22 -0500
43,2026-01-10 17:55:28 -0500
63,2026-01-10 18:04:08 -0500
60,2026-01-10 18:09:39 -0500
59,2026-01-10 18:13:29 -0500
61,2026-01-10 18:16:37 -0500
58,2026-01-10 18:21:47 -0500
57,2026-01-10 18:25:12 -0500
56,2026-01-10 18:33:12 -0500
54,2026-01-10 18:35:10 -0500
55,2026-01-10 18:43:15 -0500
54,2026-01-10 18:46:06 -0500
68,2026-01-10 18:53:37 -0500
56,2026-01-10 18:57:39 -0500
110,2026-01-10 19:05:44 -0500
90,2026-01-10 19:08:27 -0500
98,2026-01-10 19:10:50 -0500
62,2026-01-10 19:01:05 -0500
68,2026-01-10 19:14:53 -0500
70,2026-01-10 19:19:36 -0500
67,2026-01-10 19:22:05 -0500
78,2026-01-10 19:25:31 -0500
66,2026-01-10 19:30:41 -0500
65,2026-01-10 19:37:58 -0500
63,2026-01-10 19:43:38 -0500
60,2026-01-10 19:47:43 -0500
101,2026-01-10 20:02:02 -0500
101,2026-01-10 20:02:04 -0500
97,2026-01-10 20:02:12 -0500
95,2026-01-10 20:02:14 -0500
94,2026-01-10 20:02:18 -0500
97,2026-01-10 20:02:27 -0500
58,2026-01-10 20:09:32 -0500
93,2026-01-10 20:12:20 -0500
59,2026-01-10 20:17:21 -0500
76,2026-01-10 20:24:33 -0500
88,2026-01-10 20:30:01 -0500
88,2026-01-10 20:30:05 -0500
88,2026-01-10 20:30:07 -0500
74,2026-01-10 20:27:07 -0500
61,2026-01-10 20:37:32 -0500
57,2026-01-10 20:43:46 -0500
60,2026-01-10 20:47:13 -0500
76,2026-01-10 20:52:35 -0500
64,2026-01-10 20:58:19 -0500
59,2026-01-10 21:02:32 -0500
59,2026-01-10 21:05:04 -0500
69,2026-01-10 21:12:55 -0500
63,2026-01-10 21:16:07 -0500
58,2026-01-10 21:21:01 -0500
66,2026-01-10 21:26:51 -0500
65,2026-01-10 21:33:43 -0500
60,2026-01-10 21:36:50 -0500
76,2026-01-10 21:41:21 -0500
77,2026-01-10 21:49:36 -0500
53,2026-01-10 21:54:08 -0500
62,2026-01-10 21:56:58 -0500
97,2026-01-10 22:13:08 -0500
103,2026-01-10 22:13:13 -0500
104,2026-01-10 22:13:17 -0500
102,2026-01-10 22:13:23 -0500
102,2026-01-10 22:13:24 -0500
102,2026-01-10 22:13:33 -0500
55,2026-01-10 22:18:09 -0500
83,2026-01-10 22:23:59 -0500
79,2026-01-10 22:29:38 -0500
84,2026-01-10 22:31:07 -0500
71,2026-01-10 22:38:11 -0500
71,2026-01-10 22:42:08 -0500
63,2026-01-10 22:48:41 -0500
61,2026-01-10 22:50:18 -0500
68,2026-01-10 22:58:53 -0500
61,2026-01-10 23:02:36 -0500
64.0393,2026-01-10 23:05:19 -0500
71,2026-01-10 23:07:29 -0500
95,2026-01-10 23:10:01 -0500
80,2026-01-10 23:19:05 -0500
59,2026-01-10 23:22:02 -0500
78,2026-01-10 23:28:49 -0500
58,2026-01-10 23:31:30 -0500
78,2026-01-10 23:35:33 -0500
55,2026-01-10 23:40:38 -0500
56,2026-01-10 23:49:36 -0500
54,2026-01-10 23:52:55 -0500
55,2026-01-10 23:58:29 -0500
68,2026-01-11 00:03:55 -0500
67,2026-01-11 00:04:00 -0500
64,2026-01-11 00:04:05 -0500
63,2026-01-11 00:04:09 -0500
62,2026-01-11 00:04:11 -0500
56,2026-01-11 00:04:20 -0500
54,2026-01-11 00:04:24 -0500
53,2026-01-11 00:04:29 -0500
53,2026-01-11 00:04:33 -0500
54,2026-01-11 00:04:36 -0500
56,2026-01-11 00:02:31 -0500
55,2026-01-11 00:06:12 -0500
58,2026-01-11 00:12:09 -0500
56,2026-01-11 00:16:25 -0500
65,2026-01-11 00:22:06 -0500
96,2026-01-11 00:25:58 -0500
104,2026-01-12 08:25:02 -0500
141,2026-01-12 08:34:03 -0500
100,2026-01-12 08:21:30 -0500
91,2026-01-12 08:36:24 -0500
96,2026-01-12 08:38:38 -0500
81,2026-01-12 08:42:57 -0500
94.5926,2026-01-12 08:48:22 -0500
96,2026-01-12 08:49:12 -0500
79,2026-01-12 08:55:52 -0500
77,2026-01-12 09:01:27 -0500
79,2026-01-12 09:04:09 -0500
76,2026-01-12 09:08:05 -0500
74,2026-01-12 09:13:47 -0500
100,2026-01-12 09:22:52 -0500
113,2026-01-12 09:26:37 -0500
78,2026-01-12 09:20:20 -0500
106,2026-01-12 09:27:32 -0500
111,2026-01-12 09:27:37 -0500
115,2026-01-12 09:27:41 -0500
112,2026-01-12 09:27:43 -0500
113,2026-01-12 09:27:49 -0500
107,2026-01-12 09:27:57 -0500
130,2026-01-12 09:30:20 -0500
86,2026-01-12 09:31:44 -0500
78,2026-01-12 09:37:42 -0500
91,2026-01-12 09:42:38 -0500
65,2026-01-12 09:45:07 -0500
74,2026-01-12 09:50:30 -0500
77,2026-01-12 09:55:25 -0500
77,2026-01-12 10:00:02 -0500
73,2026-01-12 10:05:03 -0500
69,2026-01-12 10:12:20 -0500
79,2026-01-12 10:14:54 -0500
103,2026-01-12 10:21:11 -0500
96,2026-01-12 10:23:44 -0500
132,2026-01-12 10:31:11 -0500
72,2026-01-12 10:18:50 -0500
70,2026-01-12 10:40:54 -0500
66,2026-01-12 10:36:56 -0500
73,2026-01-12 10:41:00 -0500
96,2026-01-12 10:43:54 -0500
72,2026-01-12 10:48:01 -0500
87,2026-01-12 11:03:49 -0500
100,2026-01-12 11:07:54 -0500
105,2026-01-12 11:13:26 -0500
107,2026-01-12 11:26:49 -0500
122,2026-01-12 11:29:38 -0500
117,2026-01-12 11:33:45 -0500
110,2026-01-12 11:38:33 -0500
119,2026-01-12 11:42:51 -0500
115,2026-01-12 11:44:04 -0500
66,2026-01-12 14:57:19 -0500
113,2026-01-12 15:02:51 -0500
73,2026-01-12 14:59:52 -0500
107,2026-01-12 15:15:34 -0500
107,2026-01-12 15:15:39 -0500
109,2026-01-12 15:15:42 -0500
112,2026-01-12 15:15:49 -0500
113,2026-01-12 15:15:51 -0500
101,2026-01-12 15:14:44 -0500
96.765,2026-01-12 15:22:12 -0500
95,2026-01-12 15:22:59 -0500
117,2026-01-12 15:31:08 -0500
87,2026-01-12 15:24:33 -0500
142,2026-01-12 15:33:26 -0500
140,2026-01-12 15:33:31 -0500
139,2026-01-12 15:33:33 -0500
141,2026-01-12 15:33:37 -0500
149,2026-01-12 15:33:44 -0500
149,2026-01-12 15:33:48 -0500
151,2026-01-12 15:33:52 -0500
158,2026-01-12 15:33:59 -0500
171,2026-01-12 15:34:31 -0500
172,2026-01-12 15:34:36 -0500
174,2026-01-12 15:34:39 -0500
179,2026-01-12 15:34:46 -0500
180,2026-01-12 15:34:51 -0500
181,2026-01-12 15:34:56 -0500
180,2026-01-12 15:35:00 -0500
180,2026-01-12 15:35:02 -0500
181,2026-01-12 15:35:08 -0500
182,2026-01-12 15:35:14 -0500
184,2026-01-12 15:35:17 -0500
184,2026-01-12 15:35:26 -0500
183,2026-01-12 15:35:29 -0500
180,2026-01-12 15:35:36 -0500
178,2026-01-12 15:35:41 -0500
178,2026-01-12 15:35:43 -0500
177,2026-01-12 15:35:47 -0500
174,2026-01-12 15:35:53 -0500
171,2026-01-12 15:35:57 -0500
170,2026-01-12 15:36:05 -0500
170,2026-01-12 15:36:09 -0500
170,2026-01-12 15:36:16 -0500
168,2026-01-12 15:36:21 -0500
168,2026-01-12 15:36:26 -0500
168,2026-01-12 15:36:27 -0500
168,2026-01-12 15:36:32 -0500
170,2026-01-12 15:36:37 -0500
167,2026-01-12 15:36:46 -0500
167,2026-01-12 15:36:47 -0500
166,2026-01-12 15:36:52 -0500
169,2026-01-12 15:36:59 -0500
171,2026-01-12 15:37:02 -0500
173,2026-01-12 15:37:08 -0500
175,2026-01-12 15:37:14 -0500
177,2026-01-12 15:37:21 -0500
177,2026-01-12 15:37:22 -0500
174,2026-01-12 15:37:28 -0500
172,2026-01-12 15:37:36 -0500
171,2026-01-12 15:37:38 -0500
165,2026-01-12 15:37:44 -0500
160,2026-01-12 15:37:49 -0500
154,2026-01-12 15:37:55 -0500
152,2026-01-12 15:38:00 -0500
151,2026-01-12 15:38:05 -0500
151,2026-01-12 15:38:10 -0500
151,2026-01-12 15:38:15 -0500
149,2026-01-12 15:38:21 -0500
147,2026-01-12 15:38:25 -0500
146,2026-01-12 15:38:27 -0500
149,2026-01-12 15:38:33 -0500
151,2026-01-12 15:38:41 -0500
151,2026-01-12 15:38:45 -0500
149,2026-01-12 15:38:47 -0500
147,2026-01-12 15:38:52 -0500
149,2026-01-12 15:39:00 -0500
148,2026-01-12 15:39:02 -0500
144,2026-01-12 15:39:11 -0500
144,2026-01-12 15:39:12 -0500
132,2026-01-12 15:39:20 -0500
129,2026-01-12 15:39:25 -0500
129,2026-01-12 15:39:27 -0500
135,2026-01-12 15:39:34 -0500
134,2026-01-12 15:39:38 -0500
134,2026-01-12 15:39:42 -0500
124,2026-01-12 15:39:48 -0500
115,2026-01-12 15:39:54 -0500
128,2026-01-12 15:40:01 -0500
130,2026-01-12 15:40:04 -0500
129,2026-01-12 15:40:07 -0500
131,2026-01-12 15:40:13 -0500
134,2026-01-12 15:40:17 -0500
137,2026-01-12 15:40:24 -0500
140,2026-01-12 15:40:28 -0500
149,2026-01-12 15:40:35 -0500
156,2026-01-12 15:40:39 -0500
159,2026-01-12 15:40:42 -0500
165,2026-01-12 15:40:50 -0500
167,2026-01-12 15:40:54 -0500
170,2026-01-12 15:41:00 -0500
172,2026-01-12 15:41:05 -0500
174,2026-01-12 15:41:11 -0500
175,2026-01-12 15:41:14 -0500
175,2026-01-12 15:41:17 -0500
177,2026-01-12 15:41:24 -0500
177,2026-01-12 15:41:27 -0500
178,2026-01-12 15:41:33 -0500
179,2026-01-12 15:41:40 -0500
179,2026-01-12 15:41:44 -0500
179,2026-01-12 15:41:47 -0500
180,2026-01-12 15:41:56 -0500
180,2026-01-12 15:41:57 -0500
180,2026-01-12 15:42:02 -0500
180,2026-01-12 15:42:07 -0500
180,2026-01-12 15:42:16 -0500
180,2026-01-12 15:42:18 -0500
180,2026-01-12 15:42:26 -0500
179,2026-01-12 15:42:31 -0500
180,2026-01-12 15:42:34 -0500
180,2026-01-12 15:42:37 -0500
179,2026-01-12 15:42:42 -0500
182,2026-01-12 15:42:51 -0500
182,2026-01-12 15:42:55 -0500
181,2026-01-12 15:42:57 -0500
177,2026-01-12 15:43:06 -0500
175,2026-01-12 15:43:11 -0500
176,2026-01-12 15:43:16 -0500
176,2026-01-12 15:43:20 -0500
175,2026-01-12 15:43:23 -0500
175,2026-01-12 15:43:28 -0500
175,2026-01-12 15:43:32 -0500
176,2026-01-12 15:43:39 -0500
176,2026-01-12 15:43:43 -0500
177,2026-01-12 15:43:49 -0500
176,2026-01-12 15:43:52 -0500
176,2026-01-12 15:43:57 -0500
177,2026-01-12 15:44:04 -0500
176,2026-01-12 15:44:07 -0500
175,2026-01-12 15:44:16 -0500
175,2026-01-12 15:44:18 -0500
174,2026-01-12 15:44:26 -0500
175,2026-01-12 15:44:31 -0500
176,2026-01-12 15:44:33 -0500
176,2026-01-12 15:44:38 -0500
175,2026-01-12 15:44:45 -0500
176,2026-01-12 15:44:50 -0500
176,2026-01-12 15:44:55 -0500
176,2026-01-12 15:45:01 -0500
175,2026-01-12 15:45:06 -0500
176,2026-01-12 15:45:07 -0500
176,2026-01-12 15:45:15 -0500
176,2026-01-12 15:45:17 -0500
175,2026-01-12 15:45:26 -0500
175,2026-01-12 15:45:29 -0500
175,2026-01-12 15:45:32 -0500
174,2026-01-12 15:45:40 -0500
174,2026-01-12 15:45:45 -0500
173,2026-01-12 15:45:51 -0500
173,2026-01-12 15:45:53 -0500
173,2026-01-12 15:45:58 -0500
174,2026-01-12 15:46:05 -0500
175,2026-01-12 15:46:09 -0500
175,2026-01-12 15:46:16 -0500
175,2026-01-12 15:46:17 -0500
175,2026-01-12 15:46:22 -0500
175,2026-01-12 15:46:28 -0500
174,2026-01-12 15:46:36 -0500
176,2026-01-12 15:46:40 -0500
177,2026-01-12 15:46:43 -0500
179,2026-01-12 15:46:51 -0500
179,2026-01-12 15:46:52 -0500
179,2026-01-12 15:47:01 -0500
180,2026-01-12 15:47:06 -0500
181,2026-01-12 15:47:10 -0500
182,2026-01-12 15:47:16 -0500
182,2026-01-12 15:47:17 -0500
182,2026-01-12 15:47:22 -0500
182,2026-01-12 15:47:29 -0500
182,2026-01-12 15:47:36 -0500
182,2026-01-12 15:47:40 -0500
182,2026-01-12 15:47:42 -0500
182,2026-01-12 15:47:51 -0500
180,2026-01-12 15:47:56 -0500
179,2026-01-12 15:48:01 -0500
178,2026-01-12 15:48:04 -0500
177,2026-01-12 15:48:08 -0500
